PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0.8273772439,-0.7376951318,-0.5924805998,0.4327933657,-0.4736736093,-0.5024451714,-2.142828256
2,-1.566106926,1.355573538,0.638789012,0.4327933657,-0.4736736093,0.7868452936,-0.1985716612
3,0.8273772439,1.355573538,-0.2846631968,-0.4745451962,-0.4736736093,-0.4888542576,-2.142828256
4,-1.566106926,1.355573538,0.4079259598,0.4327933657,-0.4736736093,0.4207302361,-2.142828256
5,0.8273772439,-0.7376951318,0.4079259598,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
6,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4781164289,1.745684933
7,-1.566106926,-0.7376951318,1.870058624,-0.4745451962,-0.4736736093,0.3958135607,-2.142828256
8,0.8273772439,-0.7376951318,-2.131567615,2.24747049,0.7676298786,-0.2240831211,-2.142828256
9,0.8273772439,1.355573538,-0.2077088461,-0.4745451962,2.008933366,-0.4242561407,-2.142828256
10,-0.369364841,1.355573538,-1.208115406,0.4327933657,-0.4736736093,-0.04295550209,-0.1985716612
11,0.8273772439,1.355573538,-1.977658913,0.4327933657,0.7676298786,-0.3121723775,-2.142828256
12,-1.566106926,1.355573538,2.177876027,-0.4745451962,-0.4736736093,-0.1138457087,-2.142828256
13,0.8273772439,-0.7376951318,-0.7463893013,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
14,0.8273772439,-0.7376951318,0.7157433628,0.4327933657,5.73284383,-0.01870931178,-2.142828256
15,0.8273772439,1.355573538,-1.208115406,-0.4745451962,-0.4736736093,-0.4902797934,-2.142828256
16,-0.369364841,1.355573538,1.947012975,-0.4745451962,-0.4736736093,-0.3262666586,-2.142828256
17,0.8273772439,-0.7376951318,-2.131567615,3.154809051,0.7676298786,-0.06199888923,1.745684933
18,-0.369364841,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.3866707201,-2.142828256
19,0.8273772439,1.355573538,0.1001085569,0.4327933657,-0.4736736093,-0.2859972842,-2.142828256
20,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.5029485386,-0.1985716612
21,-0.369364841,-0.7376951318,0.4079259598,-0.4745451962,-0.4736736093,-0.1249197867,-2.142828256
22,-0.369364841,-0.7376951318,0.3309716091,-0.4745451962,-0.4736736093,-0.3866707201,-2.142828256
23,0.8273772439,1.355573538,-1.131161055,-0.4745451962,-0.4736736093,-0.4867562232,1.745684933
24,-1.566106926,-0.7376951318,-0.1307544954,-0.4745451962,-0.4736736093,0.06635974158,-2.142828256
25,0.8273772439,1.355573538,-1.66984151,2.24747049,0.7676298786,-0.2240831211,-2.142828256
26,0.8273772439,1.355573538,0.638789012,0.4327933657,5.73284383,-0.01644415947,-2.142828256
27,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.5029485386,-0.1985716612
28,-1.566106926,-0.7376951318,-0.823343652,2.24747049,2.008933366,4.647001077,-2.142828256
29,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.4897764263,1.745684933
30,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4894421905,-2.142828256
31,-1.566106926,-0.7376951318,0.7926977135,-0.4745451962,-0.4736736093,-0.09027201698,-0.1985716612
32,-1.566106926,1.355573538,0,0.4327933657,-0.4736736093,2.301728821,-0.1985716612
33,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.4923778278,1.745684933
34,-0.369364841,-0.7376951318,2.793510833,-0.4745451962,-0.4736736093,-0.4370074381,-2.142828256
35,-1.566106926,-0.7376951318,-0.1307544954,0.4327933657,-0.4736736093,1.0060617,-0.1985716612
36,-1.566106926,-0.7376951318,0.946606415,0.4327933657,-0.4736736093,0.3985820802,-2.142828256
37,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.5028639729,-0.1985716612
38,0.8273772439,-0.7376951318,-0.6694349505,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
39,0.8273772439,1.355573538,-0.9002980028,1.340131928,-0.4736736093,-0.2859972842,-2.142828256
40,0.8273772439,1.355573538,-1.208115406,0.4327933657,-0.4736736093,-0.4220735406,-0.1985716612
41,0.8273772439,1.355573538,0.7926977135,0.4327933657,-0.4736736093,-0.4576454924,-2.142828256
42,-0.369364841,1.355573538,-0.2077088461,0.4327933657,-0.4736736093,-0.2255932226,-2.142828256
43,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4894421905,-0.1985716612
44,-0.369364841,1.355573538,-2.054613264,0.4327933657,2.008933366,0.1887625319,-0.1985716612
45,0.8273772439,1.355573538,-0.823343652,-0.4745451962,-0.4736736093,-0.4897764263,1.745684933
46,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
47,0.8273772439,-0.7376951318,0,0.4327933657,-0.4736736093,-0.3363340021,1.745684933
48,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.4923778278,1.745684933
49,0.8273772439,-0.7376951318,0,1.340131928,-0.4736736093,-0.2119177431,-0.1985716612
50,0.8273772439,1.355573538,-0.9002980028,0.4327933657,-0.4736736093,-0.2900242216,-2.142828256
51,0.8273772439,-0.7376951318,-1.746795861,3.154809051,0.7676298786,0.1506737442,-2.142828256
52,0.8273772439,-0.7376951318,-0.6694349505,-0.4745451962,-0.4736736093,-0.4913710935,-2.142828256
53,-1.566106926,1.355573538,1.48528687,0.4327933657,-0.4736736093,0.8964967865,-0.1985716612
54,-0.369364841,1.355573538,-0.05380014462,0.4327933657,-0.4736736093,-0.1249197867,-2.142828256
55,-1.566106926,-0.7376951318,2.716556482,-0.4745451962,0.7676298786,0.5995101505,-0.1985716612
56,-1.566106926,-0.7376951318,0,-0.4745451962,-0.4736736093,0.06635974158,-2.142828256
57,-0.369364841,1.355573538,-0.6694349505,-0.4745451962,-0.4736736093,-0.4370074381,-2.142828256
58,0.8273772439,-0.7376951318,-0.09227731999,-0.4745451962,-0.4736736093,-0.5028639729,-0.1985716612
59,-0.369364841,1.355573538,-1.900704562,0.4327933657,2.008933366,-0.08968408411,-2.142828256
60,0.8273772439,-0.7376951318,-1.438978458,4.062147613,2.008933366,0.2958951755,-2.142828256
61,0.8273772439,-0.7376951318,-0.5924805998,-0.4745451962,-0.4736736093,-0.5028639729,-0.1985716612
62,-1.566106926,1.355573538,0.638789012,-0.4745451962,-0.4736736093,0.9623533214,-2.142828256
63,-1.566106926,-0.7376951318,1.177469467,0.4327933657,-0.4736736093,1.032321359,-2.142828256
64,0.8273772439,-0.7376951318,-1.977658913,2.24747049,2.008933366,-0.08666388103,-2.142828256
65,-1.566106926,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.09027201698,-0.1985716612
66,0.8273772439,-0.7376951318,0,0.4327933657,0.7676298786,-0.3414522396,-0.1985716612
67,-0.369364841,1.355573538,-0.05380014462,-0.4745451962,-0.4736736093,-0.4370074381,-2.142828256
68,0.8273772439,-0.7376951318,-0.823343652,-0.4745451962,-0.4736736093,-0.4841568351,-2.142828256
69,0.8273772439,1.355573538,-0.9772523535,3.154809051,2.008933366,-0.4888542576,-2.142828256
70,0.8273772439,-0.7376951318,-0.2846631968,1.340131928,-0.4736736093,-0.4740049258,-2.142828256
71,-0.369364841,-0.7376951318,0.1770629076,-0.4745451962,-0.4736736093,-0.4370074381,-2.142828256
72,0.8273772439,1.355573538,-1.054206704,4.062147613,2.008933366,0.2958951755,-2.142828256
73,-0.369364841,-0.7376951318,-0.6694349505,-0.4745451962,-0.4736736093,0.8314778547,-2.142828256
74,0.8273772439,-0.7376951318,-0.2846631968,0.4327933657,-0.4736736093,-0.357390858,-0.1985716612
75,0.8273772439,-0.7376951318,0.1770629076,-0.4745451962,-0.4736736093,0.4891036068,-2.142828256
76,0.8273772439,-0.7376951318,-0.3616175476,-0.4745451962,-0.4736736093,-0.4943912966,-2.142828256
77,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4894421905,-2.142828256
78,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
79,-0.369364841,-0.7376951318,-2.221604205,-0.4745451962,2.008933366,-0.06451572513,-2.142828256
80,0.8273772439,1.355573538,0.02315420612,-0.4745451962,-0.4736736093,-0.3972414309,-2.142828256
81,0.8273772439,-0.7376951318,-0.5924805998,-0.4745451962,-0.4736736093,-0.4672094689,-2.142828256
82,0.8273772439,-0.7376951318,-0.05380014462,-0.4745451962,-0.4736736093,-0.4571421253,-2.142828256
83,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.4916227771,1.745684933
84,-1.566106926,-0.7376951318,-0.1307544954,-0.4745451962,-0.4736736093,0.2999221129,-2.142828256
85,-0.369364841,1.355573538,-0.9772523535,-0.4745451962,-0.4736736093,-0.4370074381,-2.142828256
86,0.8273772439,1.355573538,0.2540172583,2.24747049,-0.4736736093,-0.3292868616,-2.142828256
87,0.8273772439,-0.7376951318,-1.054206704,0.4327933657,3.250236854,0.0437082185,-2.142828256
88,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
89,-1.566106926,1.355573538,-0.5155262491,2.24747049,2.008933366,4.647001077,-2.142828256
90,0.8273772439,-0.7376951318,-0.4385718983,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
91,0.8273772439,-0.7376951318,-0.05380014462,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
92,0.8273772439,-0.7376951318,-0.7463893013,-0.4745451962,-0.4736736093,-0.4902797934,-2.142828256
93,-1.566106926,-0.7376951318,1.254423818,0.4327933657,-0.4736736093,0.5833178351,-2.142828256
94,0.8273772439,-0.7376951318,-0.2846631968,0.4327933657,2.008933366,-0.2341504647,-2.142828256
95,0.8273772439,-0.7376951318,2.254830378,-0.4745451962,-0.4736736093,-0.5024451714,-2.142828256
96,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4863374217,-2.142828256
97,-1.566106926,-0.7376951318,3.178282586,-0.4745451962,-0.4736736093,0.04932982316,-0.1985716612
98,-1.566106926,-0.7376951318,-0.5155262491,-0.4745451962,0.7676298786,0.6272778976,-0.1985716612
