PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0.8273772439,-0.7376951318,-0.5924805998,0.4327933657,-0.4736736093,-0.5024451714,-0.1985716612
2,-1.566106926,1.355573538,0.638789012,0.4327933657,-0.4736736093,0.7868452936,1.745684933
3,0.8273772439,1.355573538,-0.2846631968,-0.4745451962,-0.4736736093,-0.4888542576,-0.1985716612
4,-1.566106926,1.355573538,0.4079259598,0.4327933657,-0.4736736093,0.4207302361,-0.1985716612
5,0.8273772439,-0.7376951318,0.4079259598,-0.4745451962,-0.4736736093,-0.4863374217,-0.1985716612
6,0.8273772439,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.4781164289,-2.142828256
7,-1.566106926,-0.7376951318,1.870058624,-0.4745451962,-0.4736736093,0.3958135607,-0.1985716612
8,0.8273772439,-0.7376951318,-2.131567615,2.24747049,0.7676298786,-0.2240831211,-0.1985716612
9,0.8273772439,1.355573538,-0.2077088461,-0.4745451962,2.008933366,-0.4242561407,-0.1985716612
10,-0.369364841,1.355573538,-1.208115406,0.4327933657,-0.4736736093,-0.04295550209,1.745684933
11,0.8273772439,1.355573538,-1.977658913,0.4327933657,0.7676298786,-0.3121723775,-0.1985716612
12,-1.566106926,1.355573538,2.177876027,-0.4745451962,-0.4736736093,-0.1138457087,-0.1985716612
13,0.8273772439,-0.7376951318,-0.7463893013,-0.4745451962,-0.4736736093,-0.4863374217,-0.1985716612
14,0.8273772439,-0.7376951318,0.7157433628,0.4327933657,5.73284383,-0.01870931178,-0.1985716612
15,0.8273772439,1.355573538,-1.208115406,-0.4745451962,-0.4736736093,-0.4902797934,-0.1985716612
16,-0.369364841,1.355573538,1.947012975,-0.4745451962,-0.4736736093,-0.3262666586,-0.1985716612
17,0.8273772439,-0.7376951318,-2.131567615,3.154809051,0.7676298786,-0.06199888923,-2.142828256
18,-0.369364841,-0.7376951318,0,-0.4745451962,-0.4736736093,-0.3866707201,-0.1985716612
19,0.8273772439,1.355573538,0.1001085569,0.4327933657,-0.4736736093,-0.2859972842,-0.1985716612
20,0.8273772439,1.355573538,0,-0.4745451962,-0.4736736093,-0.5029485386,1.745684933
